word	nodeType	unit
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
swear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
giant	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
swear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
dragon	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
swear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
beast	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
child	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
child	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fate	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
lieth	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
moon	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
guide	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
moon	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thou	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
wishest	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
little	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
baby	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thank	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
little	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
dear	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
daughter	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
weave	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
night	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
flee	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
whence	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
hide	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
be	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
book	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
light	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
aplenty	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
dither	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
say	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
ye	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
gravestone	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
well	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
anew	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thou	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
wish	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
anew	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
become	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
reborn	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
beloved	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
egg	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thou	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
wish	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
yet	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
again	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
anew	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
now	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
life	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
anew	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
alarmed	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
afeard	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
birth	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fair	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fine	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thou	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
art	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thou	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
now	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
assure	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
want	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
anew	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
seemeth	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
rather	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fair	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thou	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
wert	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
anew	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
once	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
more	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thou	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fair	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
still	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
countless	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
forever	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
now	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
full	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fine	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fair	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thank	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
beloved	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
egg	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
time	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
time	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
again	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
thank	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sleep	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
flee	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
whence	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
hide	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
dark	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
afeard	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
beloved	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
egg	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
death	NOUN	Godrick_the_Grafted-scene-2070000-19
unbound	ADJ	Godrick_the_Grafted-scene-2070000-19
black	ADJ	Godrick_the_Grafted-scene-2070000-19
flame	NOUN	Godrick_the_Grafted-scene-2070000-19
devour	VERB	Godrick_the_Grafted-scene-2070000-19
day	NOUN	Godrick_the_Grafted-scene-2070000-19
return	VERB	Godrick_the_Grafted-scene-2070000-19
together	ADV	Godrick_the_Grafted-scene-2070000-19
home	NOUN	Godrick_the_Grafted-scene-2070000-19
bath	VERB	Godrick_the_Grafted-scene-2070000-19
ray	NOUN	Godrick_the_Grafted-scene-2070000-19
gold	NOUN	Godrick_the_Grafted-scene-2070000-19
be	VERB	Godrick_the_Grafted-scene-2070000-19
only	ADV	Godrick_the_Grafted-scene-2070000-19
tree	NOUN	Godrick_the_Grafted-scene-2070000-19
only	ADV	Godrick_the_Grafted-scene-2070000-19
branch	NOUN	Godrick_the_Grafted-scene-2070000-19
bathe	VERB	Godrick_the_Grafted-scene-2070000-19
true	ADJ	Godrick_the_Grafted-scene-2070000-19
ray	NOUN	Godrick_the_Grafted-scene-2070000-19
gold	NOUN	Godrick_the_Grafted-scene-2070000-19
fool	NOUN	Godrick_the_Grafted-scene-2070000-19
rank	ADJ	Godrick_the_Grafted-scene-2070000-19
malformed	ADJ	Godrick_the_Grafted-scene-2070000-19
twin	NOUN	Godrick_the_Grafted-scene-2070000-19
true	ADJ	Godrick_the_Grafted-scene-2070000-19
rightful	ADJ	Godrick_the_Grafted-scene-2070000-19
heir	NOUN	Godrick_the_Grafted-scene-2070000-19
land	NOUN	Godrick_the_Grafted-scene-2070000-19
grow	VERB	Godrick_the_Grafted-scene-2070000-19
old	ADJ	Godrick_the_Grafted-scene-2070000-19
now	ADV	Godrick_the_Grafted-scene-2070000-19
ashen	ADJ	Godrick_the_Grafted-scene-2070000-19
cold	ADJ	Godrick_the_Grafted-scene-2070000-19
look	VERB	Godrick_the_Grafted-scene-2070000-19
glow	VERB	Godrick_the_Grafted-scene-2070000-19
day	NOUN	Godrick_the_Grafted-scene-2070000-19
return	VERB	Godrick_the_Grafted-scene-2070000-19
together	ADV	Godrick_the_Grafted-scene-2070000-19
shroud	VERB	Godrick_the_Grafted-scene-2070000-19
dark	ADJ	Godrick_the_Grafted-scene-2070000-19
fate	NOUN	Godrick_the_Grafted-scene-2070000-19
home	NOUN	Godrick_the_Grafted-scene-2070000-19
bath	VERB	Godrick_the_Grafted-scene-2070000-19
ray	NOUN	Godrick_the_Grafted-scene-2070000-19
gold	NOUN	Godrick_the_Grafted-scene-2070000-19
grace	NOUN	Godrick_the_Grafted-scene-2070000-19
surely	ADV	Godrick_the_Grafted-scene-2070000-19
guide	VERB	Godrick_the_Grafted-scene-2070000-19
safe	ADJ	Godrick_the_Grafted-scene-2070000-19
home	NOUN	Godrick_the_Grafted-scene-2070000-19
bath	VERB	Godrick_the_Grafted-scene-2070000-19
ray	NOUN	Godrick_the_Grafted-scene-2070000-19
gold	NOUN	Godrick_the_Grafted-scene-2070000-19
flame	NOUN	Godrick_the_Grafted-scene-2070000-19
also	ADV	Godrick_the_Grafted-scene-2070000-19
burn	VERB	Godrick_the_Grafted-scene-2070000-19
impenetrable	ADJ	Godrick_the_Grafted-scene-2070000-19
thorn	NOUN	Godrick_the_Grafted-scene-2070000-19
hear	VERB	Godrick_the_Grafted-scene-2070000-19
knight	NOUN	Godrick_the_Grafted-scene-2070000-19
proud	ADJ	Godrick_the_Grafted-scene-2070000-19
warrior	NOUN	Godrick_the_Grafted-scene-2070000-19
true	ADJ	Godrick_the_Grafted-scene-2070000-19
let	VERB	Godrick_the_Grafted-scene-2070000-19
hunt	NOUN	Godrick_the_Grafted-scene-2070000-19
begin	VERB	Godrick_the_Grafted-scene-2070000-19
fetch	VERB	Godrick_the_Grafted-scene-2070000-19
mighty	ADJ	Godrick_the_Grafted-scene-2070000-19
branch	NOUN	Godrick_the_Grafted-scene-2070000-19
make	VERB	Godrick_the_Grafted-scene-2070000-19
own	ADJ	Godrick_the_Grafted-scene-2070000-19
fresh	ADJ	Godrick_the_Grafted-scene-2070000-19
offering	NOUN	Godrick_the_Grafted-scene-2070000-19
graft	VERB	Godrick_the_Grafted-scene-2070000-19
hunt	VERB	Godrick_the_Grafted-scene-2070000-19
new	ADJ	Godrick_the_Grafted-scene-2070000-19
branch	NOUN	Godrick_the_Grafted-scene-2070000-19
bring	VERB	Godrick_the_Grafted-scene-2070000-19
tarnish	VERB	Godrick_the_Grafted-scene-2070000-19
then	ADV	Godrick_the_Grafted-scene-2070000-19
yet	ADV	Godrick_the_Grafted-scene-2070000-19
mighty	ADJ	Godrick_the_Grafted-scene-2004000-17
dragon	NOUN	Godrick_the_Grafted-scene-2004000-17
trueborn	ADJ	Godrick_the_Grafted-scene-2004000-17
heir	NOUN	Godrick_the_Grafted-scene-2004000-17
lend	VERB	Godrick_the_Grafted-scene-2004000-17
strength	NOUN	Godrick_the_Grafted-scene-2004000-17
deliver	VERB	Godrick_the_Grafted-scene-2004000-17
great	ADJ	Godrick_the_Grafted-scene-2004000-17
height	NOUN	Godrick_the_Grafted-scene-2004000-17
lowly	ADJ	Godrick_the_Grafted-scene-2004000-17
tarnish	VERB	Godrick_the_Grafted-scene-2004000-17
playing	NOUN	Godrick_the_Grafted-scene-2004000-17
command	VERB	Godrick_the_Grafted-scene-2004000-17
kneel	VERB	Godrick_the_Grafted-scene-2004000-17
golden	ADJ	Godrick_the_Grafted-scene-2004000-17
